Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-01,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
ccefde2e8b138159774076b6f149c82f32a0ae7b7bf8bea25a7e43b8da852aa5,2013-01,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Under investigation,
2fab5fba61443518f405c9a042a853f157e34a8e2a15df6c544fbd083e31e689,2013-01,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Unable to prosecute suspect,
f71db5e763c6a30a1c4cbab5ea571db9ee7b4172824ae63be13b48c0becaf9cd,2013-01,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
658fb0241a72a8a9f9181a033d01ed4f75b62d6248392764d48638928236b3a6,2013-01,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
,2013-01,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Anti-social behaviour,,
56ebc6093fe950864c822fb95f6b959058fb6827c54073ea2cd4cf800f50753e,2013-01,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e9a06a39b9f01aaaf44f629da71345af9c78d85c4a209087ad485c2967e861db,2013-01,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
f906f06b5d9bfbe7baef7d52c39a2cb9810f5fc7e2402eef85af4cac5d9aee38,2013-01,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Offender sent to prison,
70ef74cbf393dc057604bb8d6b4d3f412491139fd283b2f366f4847bc9ca9b66,2013-01,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
ac4317bec22aaccdb6280075ab4a321299e3df94b4947cb1bff51cf706f4fa22,2013-01,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
4fd63eac5709fab3a19a48d66c5b29e6400ab080cb5d507f33640d52113b3874,2013-01,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e6f8f76c32032fb742f34ad1d30f8c9806bed49eaf3e7b0af6b1ca0c617bfb1c,2013-01,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
84e7924eb6b062c09b0ad9b6ed2fcbd0a97ea6f08f01d9ccf618e5112537d29d,2013-01,City of London Police,City of London Police,-0.098023,51.519905,On or near Long Lane,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
f40718073f41024254c4d00a22d5065c0c823d02194cd085bfeb20a7b755f317,2013-01,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Public disorder and weapons,Offender sent to prison,
1213bfdf767bb0820be5f0a08e56856844c718637d97ca9edbbdbc23390a1789,2013-01,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
,2013-01,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.093919,51.519812,On or near Parking Area,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-01,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
95c7ebcbd3757d141be5e4a43abff6cfcdfc14388414df3471ffd94c9e2977fa,2013-01,City of London Police,City of London Police,-0.093969,51.519300,On or near Park/Open Space,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified,
f0f66845aac1017f719c78b25fe372ddb30bc672be5f64dece01857ab4316a48,2013-01,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Burglary,Offender given suspended prison sentence,
f757fde8dc96dc8b0549d1837f4c7f0d44c84697daf33fbd0a1a92de2280a272,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified,
0abee3071ded436d26d5c495a0d854d9bbaea34405ffc78263e975a03ff130b5,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,Offender otherwise dealt with,
53c349bb988ec248812d277c4f7805129f7883e48099a521afae5809304593df,2013-01,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Criminal damage and arson,Investigation complete; no suspect identified,
20e948a0342039edbc420db124f0d3bd28a3dfe0ef7d5f7877e4502906c2c67e,2013-01,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Drugs,Offender given a caution,
70cce441fc33654740b6cac4a222c2481b235f86fb00baff2132deb20d7f959f,2013-01,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
4417aa83b7a8e5688c56278f76f25f3f8ff97ce76127bf2b16d4adbdbb9e4e04,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
823b448cb30ab900a1637f57f48c6d42056b0c205b7e8829948b1e0c26d5f400,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
3f459897e3221af79822586674fa0ca23ff99f09df79d8e9d4593dfa57d23c3b,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
7c895fa85fd1771231f2c5b09bccd6d4999f9b38b5851460b8bbbbf0ec228326,2013-01,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
0db5c89ab19fcd98367c618df1d6f8ef38ad45d04de4e5fb53be4e26199fd210,2013-01,City of London Police,City of London Police,-0.093969,51.519300,On or near Park/Open Space,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
1ed074348446c440d453cefc6c87d5b9c9caba70b1edf4458330e5c2e487afa3,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
743bb17a78c0132254c3912c207dd8f2e0f986c4333fd99274c4c253d39dc816,2013-01,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
d64c9b64584b388ca044ae78b4186a045101c2e0ccaace6554ab7aaa3235f1ec,2013-01,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
55f35a42dda85244c75b82a210b1e4f2852d265c6766e2a58920a9bbd2dddb75,2013-01,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Other theft,Under investigation,
2970a7b10fad1c7957be653c9c3af3365e5b4acacb03af53c823071a7166162d,2013-01,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
d658a42439e9833a2aacbb0b90144b04c69667ff457f2d8bfd1a281b86352e12,2013-01,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
3b79dec2394fb8e35d0435d2094eb7029c5497b3c2bfdfb386ee54f9b653c813,2013-01,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
8334aba9537ea01e5b36729a2fcd4c5289991d7507591410e04401d1335cfb8c,2013-01,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Public disorder and weapons,Investigation complete; no suspect identified,
8294b53f6868e9f54a90c7c971be610a5a3bbc3daa2b624c6df9230fc4b7fb9c,2013-01,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Vehicle crime,Investigation complete; no suspect identified,
6d42d31edece1a370b52a8319659a4867a6bc472d7321f2b82111aafb77d7e96,2013-01,City of London Police,City of London Police,-0.093629,51.515005,On or near Milk Street,E01000002,City of London 001B,Vehicle crime,Investigation complete; no suspect identified,
e9cfa96fddefb20ec713f00fb77c6b7bce58d2d3202640352d2c1d30ab12c1dd,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Violent crime,Offender given conditional discharge,
44999f2d196ea478f34caeabc14bbdc68d3760f75fc1ef47b325e1e145516ab6,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Violent crime,Offender given conditional discharge,
506863cd58b87f49a1be091be3b8338162ca40437936d6814ac5df49fa943ba3,2013-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Violent crime,Defendant found not guilty,
b5778dccf292f4c8365a3dfe53693f21a4faffa38525a3e944ece46db3701cac,2013-01,City of London Police,City of London Police,-0.092723,51.517032,On or near Aldermanbury Square,E01000002,City of London 001B,Violent crime,Offender given a caution,
,2013-01,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
