Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-02,City of London Police,City of London Police,-0.114954,51.518632,On or near Brownlow Street,E01000914,Camden 028B,Anti-social behaviour,,
cc47c142bb592c3933037d04da2b4bcac733d2f385532b010be63873ec361da2,2013-02,City of London Police,City of London Police,-0.113274,51.516384,On or near Old Buildings,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
3d209d867816896aa0271245b231636daa7f4aadfc1666b20067d631c9a9ce20,2013-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
70e2dbaa581f5e2cac5331cf71acd44f551a854bcba68745b7ec6763814f53df,2013-02,City of London Police,City of London Police,-0.113274,51.516384,On or near Old Buildings,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
b0c50b14b3debb57f5a843cbdc73fd8cd22bc2ece7eeab309e0be208a5fb9277,2013-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
76f79b5c4c9dde917bfe385ef7d6e7c46de52cbc4c45ce403911795a0f14ca33,2013-02,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Robbery,Investigation complete; no suspect identified,
43ffe80e701f23e42c522439965bccd1ec00d586859da3673a840b413a113e29,2013-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Shoplifting,Investigation complete; no suspect identified,
,2013-02,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Anti-social behaviour,,
edabcb1c7b24d39d94e5f77713e79501a38a600c4031dbd3f8d92338a5ac1be6,2013-02,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Drugs,Investigation complete; no suspect identified,
85aa990d891e7f6cec32ea8b4104a4994c7efd481409a2b3420ccbe2f4e00e35,2013-02,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Drugs,Offender given a drugs possession warning,
641ae09d659ab26e34a35446936a7ab7ce74cdaf3f9a59ea3deeeb3cd45594aa,2013-02,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
1d433f9c7b0f0a82ff3dce76088cff49bd17f93667c6ec67a572b42834799150,2013-02,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
58cfae8b7da030b96d34156243e6cd34b1654604d849862ee6104c95f590dd4c,2013-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
9ee6118f1883936d7848a45de7a421faf79c23ec0bc466ba3f4f6c769ce46d8f,2013-02,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
1b1339c8c9f93f5c808133fe0fe32585844a0bde658df52dacbebb253c8b368f,2013-02,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Public disorder and weapons,Unable to prosecute suspect,
24ba53b367c50f6fc86b9abeedb480e501b574158029a1ba4d173c3379629667,2013-02,City of London Police,City of London Police,-0.097223,51.515225,On or near St Martin'S Le Grand,E01000001,City of London 001A,Shoplifting,Offender given a caution,
d1f272e088d1d746f1e6b877b8d8bfcb2c9e9a545b73137901132e5735c27b69,2013-02,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,Investigation complete; no suspect identified,
14fa1587f41a29f2ce7224350a3dc73ca97a981d377f374e84c1a3357b2c0b32,2013-02,City of London Police,City of London Police,-0.097053,51.518262,On or near Aldersgate Street,E01000001,City of London 001A,Vehicle crime,Investigation complete; no suspect identified,
89f1d36e0f89f899684e6ec9cb1585366d7e96996df459a74743dff65a2bd050,2013-02,City of London Police,City of London Police,-0.097053,51.518262,On or near Aldersgate Street,E01000001,City of London 001A,Vehicle crime,Investigation complete; no suspect identified,
f8e8f5cd39c93631570d5edcf3cf81636594a6d3b2a68c18abc902a3275ad011,2013-02,City of London Police,City of London Police,-0.098642,51.517146,On or near Little Britain,E01000001,City of London 001A,Violent crime,Offender given a caution,
