Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
a33a00e68e7347b373b2db224aaee3eb963a97ef166d2acb3678c211d561fc81,2013-06,City of London Police,City of London Police,-0.106453,51.518207,On or near Charterhouse Street,E01000916,Camden 027B,Other theft,Investigation complete; no suspect identified,
,2013-06,City of London Police,City of London Police,-0.107607,51.517839,On or near A40,E01000917,Camden 027C,Anti-social behaviour,,
c45d5e8466d575f7fe9462cd87979988418b8f63bda96dd7d295c69f7b4a0599,2013-06,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Bicycle theft,Investigation complete; no suspect identified,
7dab3b34c5a5ca0d26c24ed59dccfd5f61814b53fab4d7d1d750ffc796349db3,2013-06,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Bicycle theft,Investigation complete; no suspect identified,
1e6a64e3a48692dc717fd5e0aac4161c88baf51ad693837a788c4e211c295eb6,2013-06,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Court result unavailable,
b3b57e9132ed75bb3803ba984ba6c0805875f9d716614bff84b8f052958c9fff,2013-06,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
355ad1ed89e932226058306c362979e743173429e5b1ec33c4080438cc420aea,2013-06,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
bdb8136c143a72697a9d545d92b9034c3f9efec0f26b2979d8ca45c6fcf8f2bc,2013-06,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Bicycle theft,Investigation complete; no suspect identified,
60190dd04af2661743e5a1ea480d494caa59c3985d5da90470f80fe9ad594ee3,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Bicycle theft,Investigation complete; no suspect identified,
8c45e7c54aeb023ae9637f7d77dce11f499e1c0cd1dcc300f5d449e65474bdd1,2013-06,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Burglary,Court result unavailable,
d91e5bd66750ee36848914f85ed698ef6657208f0fccd8996a0a6a765f183a45,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Criminal damage and arson,Investigation complete; no suspect identified,
d3ca5209e5225334df34861af1c2a53313c8ec891d7edf7a5f97ed3b207fea7f,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Drugs,Offender fined,
2fe680144a25d75f0a0b3f3014957d497653e7dc6a8860b1feab7a7f65df6f99,2013-06,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Under investigation,
aab115085a09a572816d50d6e264881167798730be8c070886604098dc9adeff,2013-06,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
dc163cf063bc6ed85c83204be850af368d361cd3c96cce8aa813291edc3e26ed,2013-06,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Public order,Investigation complete; no suspect identified,
e1af561b94f309096ec8d60c699e40a6218bebf2c5137363b318304748e77613,2013-06,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Robbery,Investigation complete; no suspect identified,
954ec8ff12b5674ed32491e8cefc76388b10b63aba107d280a208a895f9ce675,2013-06,City of London Police,City of London Police,-0.097223,51.515225,On or near St Martin'S Le Grand,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
90a03018bd950a46c5d01816095098aa8eeed6c9fa2a7eed28f04ab45f27d999,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
6e6fa17d8880d2e0db0d85711788fc6dc33b08b5804be06a761f75b0ef515b40,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,Investigation complete; no suspect identified,
a0b409bbb6ca389af996360cd7258732ce204ed255040ec5f30ef474cd2a370d,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violence and sexual offences,Investigation complete; no suspect identified,
75388a6ce8fbbffc85a53bef07368a168ab3d3b2e737ebf2dbe75312479e58e3,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violence and sexual offences,Under investigation,
13e03d4bc618f295b6e562da5157205237eeede353a385e7c31958f818040ec0,2013-06,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violence and sexual offences,Investigation complete; no suspect identified,
,2013-06,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-06,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
