Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-04,City of London Police,City of London Police,-0.113274,51.516384,On or near Old Buildings,E01000914,Camden 028B,Anti-social behaviour,,
71b9b796f04ea39025714a3ded0598594aace7117600f5abb28333863089d8bf,2013-04,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Court result unavailable,
bc75ba3beca7f33c3047a9f69944410ff2c27d6b91620d24ecbce69f2f28e983,2013-04,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
,2013-04,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
4640c25325d810d54eb898710d373a3b247aabce98259b756dd838f46337a9c9,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
dba4e0185ecd26e85f6f0406322f714ccad1e8addff39312ebc7f4bf21d9a141,2013-04,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
4842e2b97458410861498d281b4dd3b962e53fc5be074a2bff9f0928a9a36c10,2013-04,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
685d218366f30ce0e9f665ac75494c866731407dc5c3e06499c822feb4113fdc,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
8e733f9d483206559a38f5711262f8e110d6f23c9772e81ae27d3e66c43b2f8b,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
84e3b582936f033fd6b32b6f3997b39e44bee01288aa14666cca9b6ec724125b,2013-04,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
87bac1acf5dc0f0e695e2b57d960c7e0888c56e045286e124d7296fee0d354a4,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
c654ea16a333186015b4b82c7bf5cfbf352f27061cf7862087531778c4a14cf6,2013-04,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e738111c025f4b5ae7d32b34785360950cdb6516f38aeedf8ccd506faeade1a8,2013-04,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
25c61958cf8c595c88a8264883c9cf271efd7d864f69486ce66f151f748f29dc,2013-04,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
9d7e9bc21d6705a1c3463ad8527746a09255999a5a07dd2bf588d12e48237b02,2013-04,City of London Police,City of London Police,-0.097223,51.515225,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
54557699b0644c202c53c0b9cfa844c2ca3b597d9837058e9295f06997b2e92a,2013-04,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
f52f599dd4e5e58c790ae9e5fd46f59075675e74729577359327c9d86178a201,2013-04,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Public disorder and weapons,Investigation complete; no suspect identified,
8349eab72f8ee0d6ce52edc5cb55ae2d06f607ff99d0aa4b4eb4af662de92e52,2013-04,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
dc82834971a9c6f28c040d71a12229030dd69fa1e73443d4eb82d6367b0c39e7,2013-04,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Other crime,Investigation complete; no suspect identified,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.093558,51.516703,On or near Police Station,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
3db2dcb061fb5deddbe5d1cc981ed92776115f53794f6e8f980c63af2f211a51,2013-04,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Burglary,Court result unavailable,
b8acbfa428603f3b68865758ae7c1130ff5951bd15f3bc56d0d3c87ff0772553,2013-04,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Drugs,Offender given a caution,
aa15e78cacefd612326ab686f9cd7c0025cbe21535c86b797ea7a3b213f738d8,2013-04,City of London Police,City of London Police,-0.092517,51.520580,On or near Whitecross Street,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
2958b31da6a62d593988ba4bbcc7d85970730a4fd7c6290e148cfe078c62e71b,2013-04,City of London Police,City of London Police,-0.092517,51.520580,On or near Whitecross Street,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
c02d3a1ed0cb9a69a5a05ec54191263e78f53d9260ea3118611e5b6d78be8f53,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
b918c74fadde2b12209536a3f402df619d2f2e7082baa7d7420bfb32eb32c2da,2013-04,City of London Police,City of London Police,-0.093919,51.519812,On or near Parking Area,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
6e92179dfa2247177bb50ad99aac6af6e896498cfa6b9752599f61677b08df33,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
d7306bac113ecd90e0b4e7c255c61abfab376dead2e2fe7b4702cecd09595bac,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
ff34a8770be366004098d3f0ccf93d7809ab80fb914549b09bcad495ae588c22,2013-04,City of London Police,City of London Police,-0.092628,51.517920,On or near St Alphage Garden,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
cf83af52686b9742c9d1cbc13d3bdd16967eb19207340c82a537a05debdf5c22,2013-04,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
8a4149d38435c89f404f79067b3f57d089a6a8a1b54fbc9615ee5f00c44ea04f,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
d3a741be3393c82f2759e2ff7efa38c178cc58e5c2dc3f10e8cee6bcb5bbc584,2013-04,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
905722c3e41cdc342f9e2d45b240de023372595a2170060e1223cee46ba2fb6f,2013-04,City of London Police,City of London Police,-0.092517,51.520580,On or near Whitecross Street,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
a93d895f4494091ce1e2f94a6e0e3d9574d02f53cdbe76c7292d568e0827e1e6,2013-04,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
330689306258766c67431de0b512cecef6d7ae9c792cb341e095bac0233014bc,2013-04,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
15f89c96c75943114d7780ed4e5f8bd4aaa45091a49fd42fa18a1d6009305030,2013-04,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
ffbd179d961d83db11bb5cb20c62e12a1cc2834e9ae2a16a6c25cb4bdcbae0c2,2013-04,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Violent crime,Investigation complete; no suspect identified,
,2013-04,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
654f911f463f8cae66271e814c0f3662f81a29272527dbf169bc1f3ed0cfbf59,2013-04,City of London Police,City of London Police,-0.094468,51.521853,On or near Golden Lane,E01000003,City of London 001C,Criminal damage and arson,Investigation complete; no suspect identified,
a7d327f58dbed244016c93dba016689b34b2c57c32f02e796da0bc8380b6bd95,2013-04,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Criminal damage and arson,Investigation complete; no suspect identified,
40b7fb551ec5f289b86b83e47bdee620c2e91e85b57e6f0aebaeba672c6f871f,2013-04,City of London Police,City of London Police,-0.094468,51.521853,On or near Golden Lane,E01000003,City of London 001C,Other theft,Investigation complete; no suspect identified,
,2013-04,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.073230,51.510004,On or near Mansell Street,E01000005,City of London 001E,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.073254,51.512856,On or near Mansell Street,E01000005,City of London 001E,Anti-social behaviour,,
,2013-04,City of London Police,City of London Police,-0.077224,51.516122,On or near Shopping Area,E01000005,City of London 001E,Anti-social behaviour,,
