lsoa,post12,post24
E01004117,15.14854927,51
E01003437,15.35538216,27
E01003436,22.34719123,28.5
E01003435,17.43422485,40.5
E01003434,27.32699285,46.5
E01003433,33.82132978,48
E01004110,24.81872853,24.81872853
E01003432,33.45659049,47
E01004111,31.07145266,31.07145266
E01003431,46,46
E01003430,39.52574255,46
E01004114,46.5,600
E01004115,27.45007519,27.45007519
E01004112,30.60672944,30.60672944
E01004105,23.89089545,23.89089545
E01003449,31.30402967,49
E01004106,27.17497736,27.17497736
E01004107,31.56691139,31.56691139
E01004108,47,53
E01003446,30.33625393,32.29404945
E01004109,54,58.5
E01003445,20.3888853,45
E01003448,24.99229948,58.5
E01003447,18.65377882,33
E01003442,23.99278057,23.99278057
E01003441,7.932725205,27
E01003444,28.00667145,34.77608553
E01003443,28.94658444,28.94658444
E01004100,22.50345782,22.50345782
E01004101,19.57741446,19.57741446
E01004102,29.87244554,29.87244554
E01003440,15.14767728,34.5
E01004103,14.80160383,14.80160383
E01004104,29.08657142,29.08657142
E01003459,17.8816686,17.8816686
E01003458,14.12660843,14.12660843
E01003457,10.77063007,10.77063007
E01003456,3.796138101,3.796138101
E01024483,57,49.5
E01024481,42,62
E01003451,40.5,24
E01003450,31.37521839,36
E01003455,21.66004218,21.66004218
E01003454,10.69036315,10.69036315
E01003453,27.27976312,38.61988696
E01003452,38.39578462,28.5
E01003468,26.70591512,51
E01003467,32.95042909,53
E01003469,16.28835504,49
E01003460,36.00067416,36.00067416
E01003462,29.75862375,29.75862375
E01003461,14.17740265,14.17740265
E01003464,29.27838409,29.27838409
E01003463,26.72555176,37.5
E01003466,27.0572252,42
E01003465,19.42211955,19.42211955
E01004030,31.98393516,58.5
E01016482,64,75
E01001492,14.16162842,14.16162842
E01004027,18.33769331,39
E01001493,37.18618501,37.18618501
E01000360,11.03673268,11.03673268
E01001491,13.0119269,13.0119269
E01004024,35.6326803,35.6326803
E01000362,4.679642823,4.679642823
E01001496,36.33129197,36.33129197
E01004023,31.57766714,40.5
E01000361,19.51959743,19.51959743
E01001497,26.83397556,26.83397556
E01004022,31.51162044,39.11749327
E01000364,10.45915086,10.45915086
E01001494,31.35405933,31.35405933
E01004021,22.79696592,22.79696592
E01000363,15.36152858,15.36152858
E01001495,36.52343314,36.52343314
E01004020,26.07448551,26.07448551
E01000366,16.41135193,16.41135193
E01000365,8.731812767,8.731812767
E01000368,33.48765302,33.48765302
E01001498,31.25126925,31.25126925
E01000367,38.95366377,38.95366377
E01001499,33.2813762,33.2813762
E01000369,29.84659498,29.84659498
E01004029,26.83007577,48
E01004028,26.3975142,33
E01004040,24.78996074,24.93971287
E01004041,23.95612549,23.95612549
E01004036,25.78223664,35.97045612
E01000371,27.32189271,27.32189271
E01004035,32.85980373,33.92716833
E01000370,22.38546948,22.38546948
E01004038,23.25174241,23.25174241
E01004037,27.91310199,27.91310199
E01004032,24.38493387,48
E01000375,47,30
E01023337,55,54
E01004031,34.38093375,30
E01000374,46.5,45
E01023338,58,50
E01004034,34.19924885,37.5
E01000373,55.5,27
E01023339,50,64.5
E01004033,32.40850854,43.5
E01000372,37.59382932,37.59382932
E01000379,36.3973425,36.3973425
E01000378,27.0499121,27.0499121
E01000377,29.19851279,29.19851279
E01000376,37.43692208,37.43692208
E01004039,25.7146043,27.4112791
E01004001,19.53511136,19.53511136
E01000384,21.92205815,58
E01004000,16.85197086,16.85197086
E01000383,51,94
E01000386,29.45801172,58
E01000385,33.1098084,69
E01004005,5.700525709,5.700525709
E01000380,37.0493289,37.0493289
E01004004,11.88332965,11.88332965
E01004003,12.72286469,12.72286469
E01000382,19.03726182,37.5
E01004002,26.63476589,26.63476589
E01000381,34.5,82
E01004008,4.64760927,4.64760927
E01004007,11.16698103,11.16698103
E01004006,10.43393763,10.43393763
E01000388,39.68336384,39.68336384
E01000387,23.52918233,66
E01000389,25.72559487,25.72559487
E01004010,5.437315634,5.437315634
E01000396,36,31.5
E01000395,34.92696624,34.92696624
E01004012,18.79319472,18.79319472
E01000394,22.59648495,22.59648495
E01004011,13.78031688,13.78031688
E01000393,30.08407942,30.08407942
E01004014,15.04890617,15.04890617
E01023311,87,96
E01000392,39.459234,39.459234
E01004013,9.464940731,9.464940731
E01000391,34.23377004,39.32354569
E01004016,35.75122365,35.75122365
E01023313,47,55
E01000390,28.57681829,28.57681829
E01004015,26.73614116,26.73614116
E01004018,37.08559665,37.08559665
E01004017,37.97083546,37.97083546
E01004019,19.69992152,19.69992152
E01000399,33.18044591,33.18044591
E01000398,25.67622136,25.67622136
E01004074,26.77369703,26.77369703
E01004073,26.2092025,26.2092025
E01004072,36.89180098,36.89180098
E01004071,31.32654266,31.32654266
E01004070,27.89198196,27.89198196
E01000329,8.217223723,8.217223723
E01000321,49.5,60
E01000322,47,68
E01000323,48,47
E01000324,57,54
E01000325,19.00069512,19.00069512
E01000326,28.86260399,28.86260399
E01000327,11.66821643,11.66821643
E01000328,19.22859299,19.22859299
E01004068,10.78034375,10.78034375
E01004069,43.5,46.5
E01004066,10.39546724,10.39546724
E01004067,2.954441115,2.954441115
E01004064,15.25249129,15.25249129
E01004065,16.46276464,16.46276464
E01000320,51,71
E01004083,39,36
E01004082,32.49032096,32.49032096
E01004085,57,55.5
E01004084,50,52.5
E01004081,52.5,49.5
E01004080,32.09351588,32.09351588
E01000334,19.5,51
E01000335,54,45
E01000332,21,49.5
E01000333,22.5,81
E01000338,43.5,30
E01000339,19.57291658,70
