"","GSS_CODE","x","y"
"247","E05000549",535342.35426351,179405.04024881
"248","E05000552",536261.17010796,179749.98215356
"249","E05000537",532624.80187553,179395.82094206
"250","E05000437",537397.69783975,171715.55803408
"251","E05000453",535934.10177894,176094.33413065
"252","E05000442",539264.22437101,171384.10753299
"253","E05000454",539138.2611439,172369.36305912
"254","E05000438",539091.65975796,176087.31492368
"255","E05000452",535194.80495259,171619.84921605
"256","E05000444",535061.47409211,173071.62683704
"257","E05000450",536026.11168232,172634.72172652
"258","E05000451",537651.17268434,173741.24277974
"259","E05000440",538502.54645921,173030.30008589
"260","E05000441",536382.02720948,174072.81694122
"261","E05000446",537270.97352588,175184.70644839
"262","E05000448",538387.44085922,174879.64012852
"263","E05000439",536915.635077,176313.57505355
"264","E05000449",536205.28234304,177454.76844914
"265","E05000445",540732.20012627,172709.64364372
"266","E05000447",539557.36949877,174522.78821251
"267","E05000443",536530.03559104,178214.77022382
"268","E05000224",541021.15447239,174453.93005961
"269","E05000217",543266.99223071,172522.63342911
"270","E05000219",543874.88522473,174006.50545317
"271","E05000227",544225.19702306,176759.07163919
"272","E05000225",539677.42683534,179036.29098529
"273","E05000230",542582.20832257,179041.96312735
"274","E05000222",538374.42429794,177318.69208254
"275","E05000220",541595.64798884,175296.51069547
"276","E05000215",540156.01579398,177010.7886237
"277","E05000223",541728.64715665,176647.8453337
"278","E05000218",543291.6762768,175323.41530303
"279","E05000216",541437.82898568,177864.78359745
"280","E05000229",543217.74872316,177783.01176467
"281","E05000226",545828.62147115,178166.68911603
"282","E05000221",544576.50763439,178670.66083742
"283","E05000228",545884.42786013,180313.56494464
"284","E05000214",546843.10351122,178705.5351089
"285","E05000078",545669.74523794,171878.17661646
"286","E05000066",545459.04446527,173909.6591928
"287","E05000072",548434.04998012,171549.00024845
"288","E05000083",546467.47431242,172659.6457725
"289","E05000081",549278.25790918,173362.9731077
"290","E05000071",551700.48805348,174943.90921782
"291","E05000079",552820.22858571,177226.5748658
"292","E05000075",550730.36315058,178806.18572539
"293","E05000065",549440.21031437,179359.55539045
"294","E05000084",548326.5995054,180440.84248794
"295","E05000076",545744.98328012,175321.97711417
"296","E05000074",545752.33199237,176434.56232524
"297","E05000067",547211.03588461,174016.95929324
"298","E05000073",547258.41101569,175253.54171516
"299","E05000069",548849.63480227,175079.55424061
"300","E05000082",547234.69283763,176744.05475077
"301","E05000068",548683.72241024,176532.92109536
"302","E05000080",549565.13555357,177297.87717746
"303","E05000064",550291.01634074,175402.80203762
"304","E05000070",550843.57684453,176792.21126173
"305","E05000077",547988.08495733,178300.8398563
"306","E05000195",531310.28208834,199313.99185502
"307","E05000213",531270.7592684,194066.4203004
"308","E05000196",528060.60473308,197408.09853435
"309","E05000202",530863.95248178,197099.91188078
"310","E05000212",534050.44811115,192029.60338479
"311","E05000205",531671.63247568,192856.87046049
"312","E05000197",534840.19496727,192891.12240611
"313","E05000204",535432.38230644,193742.07888345
"314","E05000200",532154.98378341,195656.66715366
"315","E05000203",535693.61445793,194686.7316931
"316","E05000206",536180.58037808,195797.21069971
"317","E05000198",536358.43007552,197287.89444079
"318","E05000193",531009.47460085,191972.48663601
"319","E05000209",529797.74521419,192768.47623628
"320","E05000208",529993.34159494,194713.7946281
"321","E05000201",533388.40482424,193451.02679727
"322","E05000194",533081.01807048,194683.86756712
"323","E05000210",533027.62149424,197340.41667353
"324","E05000207",534238.36088772,196691.31782049
"325","E05000211",535232.28418177,199044.5766965
"326","E05000199",536774.90858843,198996.17222517
"327","E05000604",537624.52922006,186640.65900276
"328","E05000599",535584.93098149,188654.08521816
"329","E05000600",536033.46578174,190579.94897376
"330","E05000607",536886.99933147,192295.9279026
"331","E05000593",538870.49461126,194902.14939227
"332","E05000591",538767.9451858,186074.37618038
"333","E05000603",536461.55371879,187337.87976901
"334","E05000606",536574.40150462,188294.68336203
"335","E05000596",538430.0282798,186858.45690515
"336","E05000595",538898.33963044,188346.3685218
"337","E05000608",536694.38893514,189775.7020217
"338","E05000601",537695.37490766,189061.3046146
"339","E05000609",538769.76499119,189479.07107174
"340","E05000592",537794.05684985,190588.38514899
"341","E05000597",538947.95077512,191191.32445628
"342","E05000590",539570.97331468,186175.18356685
"343","E05000602",537897.72916754,192479.32861743
"344","E05000594",537871.72365412,193889.71206908
"345","E05000598",539233.11182353,192846.96998627
"346","E05000605",539330.84354222,187499.05376203
"347","E05000515",540989.71605105,187328.3832183
"348","E05000502",542804.0052835,187766.01934435
"349","E05000510",544943.93942482,187906.19746456
"350","E05000511",541243.10124179,190321.92846736
"351","E05000503",544440.19447553,191118.56471963
"352","E05000505",546404.14762861,186861.60699217
"353","E05000495",546200.45913045,190041.84262218
"354","E05000497",541860.94968367,191835.52407111
"355","E05000506",547268.10602717,192317.12473541
"356","E05000507",543936.11526663,185495.18129126
"357","E05000501",544379.41916523,186287.14235771
"358","E05000508",545485.1648524,186008.14693877
"359","E05000514",543492.84391724,186926.095852
"360","E05000512",546182.31270741,187942.02158026
"361","E05000513",540138.0159198,189085.81654557
"362","E05000500",542271.3617799,189349.39002959
"363","E05000499",540143.03949078,190675.89513975
"364","E05000496",543425.58005736,188965.77855631
"365","E05000504",543316.89018973,190365.8048037
"366","E05000498",547250.21345517,188404.02842291
"367","E05000509",540417.085513,192644.34494754
"368","E05000559",528037.65616712,161745.65256126
"369","E05000560",524338.51502045,162486.69148366
"370","E05000556",530152.05241186,163084.78678614
"371","E05000562",526515.17884521,166363.47768771
"372","E05000571",527774.88192301,166697.33768999
"373","E05000557",525865.86284295,162543.90767218
"374","E05000561",523122.2678747,164981.40854643
"375","E05000572",523121.24229501,166051.51013238
"376","E05000566",526325.26739113,163452.12372405
"377","E05000567",525043.03821249,164116.84091437
"378","E05000564",526071.01873941,164464.37235966
"379","E05000558",527524.62954826,164403.37124766
"380","E05000565",525847.93351372,165542.16733977
"381","E05000563",524669.00847733,165935.94760051
"382","E05000568",527540.71161867,165524.35037935
"383","E05000570",528922.38160479,163343.47488123
"384","E05000569",528821.14187265,164750.77553558
"385","E05000555",529701.37785784,165792.24512352
"386","E05000520",514836.77023688,169121.39632285
"387","E05000530",515869.09088147,170305.11522316
"388","E05000522",517240.25028184,169980.05586683
"389","E05000523",513239.28495126,173406.74206301
"390","E05000531",517009.90957102,173776.98523987
"391","E05000519",518524.60029021,172358.85862948
"392","E05000526",518241.58359969,175611.49155258
"393","E05000524",518941.84371611,176740.07379407
"394","E05000517",520716.67840976,173896.12097164
"395","E05000525",521617.11953377,175908.61325422
"396","E05000521",513074.08641453,171127.61121044
"397","E05000518",514682.45196088,171229.23392727
"398","E05000532",514181.90974137,172438.12745739
"399","E05000533",514255.2664327,174002.39482774
"400","E05000529",515570.97171647,172573.43361361
"401","E05000527",516137.94185849,174252.85508327
"402","E05000528",518717.50879486,174553.92698802
"403","E05000516",522503.68560454,177134.34331537
"404","E05000456",524302.29821847,168381.36740201
"405","E05000458",527820.51829929,168122.59030372
"406","E05000472",523049.54024709,171290.20039131
"407","E05000474",525413.75868666,171934.42797898
"408","E05000465",523800.13865063,166984.89992052
"409","E05000473",522878.94591556,168064.89468381
"410","E05000469",522817.77554049,169463.27992793
"411","E05000459",524354.01769819,169791.43033754
"412","E05000470",525412.40835084,167440.4731274
"413","E05000468",526572.97306262,167917.84357824
"414","E05000466",525226.14921641,169014.16482968
"415","E05000455",525891.3934083,169892.41166997
"416","E05000460",528225.95001171,169279.1030265
"417","E05000467",529461.22090579,168212.11563854
"418","E05000461",528508.42669653,170274.50302636
"419","E05000464",529358.52659988,169278.33438104
"420","E05000462",524330.3119468,170563.16183016
"421","E05000471",525821.25191934,170783.08440644
"422","E05000463",527274.38379964,169604.54686005
"423","E05000457",527077.05307799,170377.37713502
"424","E05000621",522352.18715709,173636.6803571
"425","E05000625",523958.29138407,175539.52488855
"426","E05000627",526858.36640448,173588.88788978
"427","E05000628",524190.57439042,173255.26536808
"428","E05000629",522805.92911744,174737.8376591
"429","E05000613",524276.2286408,174499.58921841
"430","E05000616",527826.08629507,171211.09475142
"431","E05000626",527155.31083783,171719.88597734
"432","E05000624",525274.28005262,173573.81257709
"433","E05000612",526193.75733759,172804.0146578
"434","E05000618",527979.71651974,173174.67846621
"435","E05000615",528959.73263888,171135.08180963
"436","E05000611",528832.35542844,172371.70220647
"437","E05000610",528527.63314548,173941.57382554
"438","E05000614",525962.28093676,174887.76827311
"439","E05000619",527691.37675224,174793.8868081
"440","E05000617",527290.51410883,175973.86803572
"441","E05000622",526942.75813791,176557.50598627
"442","E05000620",528767.4782483,177084.76683988
"443","E05000623",528055.26555314,175648.61207848
"444","E05000259",524166.96638268,176322.54132378
"445","E05000257",524282.82480585,176998.29930582
"446","E05000262",525933.04264533,176192.38700388
"447","E05000260",525476.96861119,176742.05202821
"448","E05000254",525080.26280039,177553.57933194
"449","E05000261",522226.78356055,178893.87185442
"450","E05000256",523140.55675239,178690.4019842
"451","E05000252",524112.47575151,178777.84315595
"452","E05000251",522106.95456271,179738.3019397
"453","E05000265",522322.68030661,180585.79252608
"454","E05000263",523226.82958277,180135.51907662
"455","E05000253",522363.24669352,181818.05846504
"456","E05000264",524836.39083222,176712.93496368
"457","E05000255",523770.84889472,177815.50332464
"458","E05000258",524661.41997309,178072.54574284
"459","E05000250",523682.07849532,179437.33758343
"460","E05000387",526732.05286314,177433.70690152
"461","E05000391",524596.54493447,179623.90819675
"462","E05000392",524224.68802748,180492.84676671
"463","E05000389",524013.89392018,182138.98129433
"464","E05000396",525950.69998472,177994.33014527
"465","E05000399",526707.43197595,177929.38518134
"466","E05000397",527854.37810671,178037.91657089
"467","E05000383",527133.9012284,179019.13506801
"468","E05000382",525220.48477388,179035.92721936
"469","E05000394",525057.66591253,180708.5495566
"470","E05000393",523786.35343707,181162.18677829
"471","E05000385",524658.28407407,181238.05464157
"472","E05000398",523622.24531037,181837.87624233
"473","E05000388",525371.91193865,178465.8511311
"474","E05000386",526225.39282992,178577.56813866
"475","E05000395",526038.94911359,179303.90218044
"476","E05000390",527672.10113749,178785.01910642
"477","E05000384",525459.27768021,180069.83097295
"478","E05000644",529844.30398469,180062.73564747
"479","E05000638",526015.0446823,180922.48219725
"480","E05000637",527333.89577843,179978.20525656
"481","E05000636",526868.79517811,181264.11702651
"482","E05000633",528751.31941997,178164.1254373
"483","E05000646",529792.73433591,178762.91383349
"484","E05000649",528919.86487399,180902.37728393
"485","E05000635",525002.50683318,182391.35271015
"486","E05000632",527623.62468174,181670.62507166
"487","E05000643",527596.89822816,182836.17355784
"488","E05000630",526455.24232526,183350.00718246
"489","E05000641",528429.27301819,181700.06928112
"490","E05000642",524356.11074055,182695.95673836
"491","E05000631",525554.35496258,181344.74492972
"492","E05000647",528956.00503733,178648.60886761
"493","E05000645",529629.32942812,178194.15565693
"494","E05000648",525411.9102455,181806.08377723
"495","E05000639",526306.9383413,182083.89446795
"496","E05000640",525683.89646445,182762.94152415
"497","E05000634",527076.38116556,182141.56343141
"498","E05000144",526539.73507996,184141.77947538
"499","E05000137",527967.18946882,186685.18888054
"500","E05000140",525571.02061994,183934.24095696
"501","E05000129",529735.01643634,181995.81152724
"502","E05000138",530694.03458476,181688.90602709
"503","E05000143",529776.2840409,183480.38732351
"504","E05000130",528457.54789852,184002.56285887
"505","E05000131",529512.22500945,184556.67022815
"506","E05000141",530423.14439296,182587.30901189
"507","E05000132",524778.90291239,185333.45201594
"508","E05000133",526011.08320023,185530.36879263
"509","E05000134",527927.55642891,185388.56064299
"510","E05000135",526671.46457217,186180.84400138
"511","E05000139",529040.74167412,185260.3388176
"512","E05000145",525483.2977295,184842.32822094
"513","E05000128",527229.26583412,184616.24440533
"514","E05000136",528134.17419989,184699.1544356
"515","E05000142",528939.52751525,182953.04588559
"516","E05000583",537400.81227154,179472.74706142
"517","E05000575",538464.24721979,179783.48709595
"518","E05000586",535452.25421785,180938.50429225
"519","E05000585",534453.63121803,180422.20487088
"520","E05000580",537055.05576741,180999.2107368
"521","E05000574",534920.7581123,182290.68233517
"522","E05000581",535720.45346475,182622.86711785
"523","E05000573",534837.85760011,183157.21933054
"524","E05000584",535856.3999261,181601.06358343
"525","E05000582",536861.74055746,182116.60457804
"526","E05000579",538165.72969734,181480.56145842
"527","E05000578",537707.49722936,182366.91198751
"528","E05000577",536255.27816132,183211.95721791
"529","E05000576",536964.02148112,183836.08069206
"530","E05000589",534555.70574159,181399.06796377
"531","E05000587",533890.50690024,181774.4035989
"532","E05000588",533972.66555406,182572.40382419
"533","E05000370",531338.82474768,182544.70023403
"534","E05000368",530546.62107054,184074.33142814
"535","E05000379",531558.43102159,184295.75003592
"536","E05000375",530492.51616403,185219.55557875
"537","E05000372",531938.53841024,185515.29688659
"538","E05000373",531424.38663544,185927.61455576
"539","E05000381",530415.06597996,187029.67986982
"540","E05000367",532281.82988473,182387.98934295
"541","E05000380",532067.97738609,183542.38450636
"542","E05000369",532464.20207807,184448.25407635
"543","E05000366",531101.81476587,183741.26709441
"544","E05000378",529868.63948486,185762.19911212
"545","E05000376",529368.8968582,186558.06129264
"546","E05000371",530857.51921621,186455.26936562
"547","E05000374",529819.50039218,187415.16105218
"548","E05000377",532752.66829087,185141.79975596
"549","E05000239",533590.17265777,183024.1504601
"550","E05000231",532116.073587,186975.78721027
"551","E05000236",533176.33556896,184047.12934978
"552","E05000245",534302.91698275,184079.05998035
"553","E05000249",536645.0712988,184897.98946988
"554","E05000235",533835.18106332,185049.18424628
"555","E05000247",533597.28724064,186059.87212584
"556","E05000238",534436.13450573,186089.33327089
"557","E05000242",535226.25551037,186281.77443708
"558","E05000244",533086.21032877,187733.23907058
"559","E05000232",534087.84117838,187006.55825039
"560","E05000241",536442.37387539,185934.18952632
"561","E05000240",532726.62115512,183091.03017357
"562","E05000248",535396.39344016,184045.33621022
"563","E05000237",534582.49913953,185033.31428267
"564","E05000233",535439.67031843,185077.69930216
"565","E05000234",532940.00451604,185936.85075544
"566","E05000243",532998.83296159,186885.58587641
"567","E05000246",534490.70395274,187532.46342308
"568","E05000272",528111.68466117,188047.09776538
"569","E05000271",531514.5594786,188379.1193366
"570","E05000270",527970.27562986,189787.775124
"571","E05000267",530123.00747913,191265.6401912
"572","E05000269",529739.84938709,188237.07582866
"573","E05000279",531029.83518653,187938.21454643
"574","E05000274",529145.32450184,189147.17611285
"575","E05000273",530426.54963467,189195.32986042
"576","E05000266",529413.71340499,190516.93101859
"577","E05000275",531260.07716695,190091.75641761
"578","E05000284",531372.03570902,190978.46475645
"579","E05000277",532412.35565059,188759.68644834
"580","E05000278",533213.46413345,188284.22222651
"581","E05000280",533628.62260148,189134.30111029
"582","E05000282",532352.65547705,189879.83638803
"583","E05000281",534505.65216644,190095.80182762
"584","E05000283",532746.8731204,191158.45053868
"585","E05000268",533377.50808316,190027.79062677
"586","E05000276",534461.4282428,191267.74526915
"587","E05000491",542141.67997287,180077.69254375
"588","E05000477",539356.49887181,182296.96523929
"589","E05000475",543892.81933206,181657.18305181
"590","E05000482",542923.55345135,182659.8025441
"591","E05000492",538378.24958956,184225.54064952
"592","E05000478",540046.26414616,181210.69924829
"593","E05000479",541326.00690861,181202.33697549
"594","E05000490",541094.93909074,182528.78124308
"595","E05000494",539601.36681233,183772.77894602
"596","E05000489",540425.3986543,183372.58293432
"597","E05000484",540168.29330952,184911.2921313
"598","E05000476",541696.27043195,183328.22527073
"599","E05000480",542414.79371624,183522.46715099
"600","E05000486",540775.13442022,184297.49227144
"601","E05000485",541359.34351818,184518.07691422
"602","E05000481",542342.96630481,184621.32615249
"603","E05000493",543187.15146605,183952.59480289
"604","E05000483",540137.99883993,185547.23874054
"605","E05000488",541838.71929048,185432.96530447
"606","E05000487",542701.72619378,185879.75138
"607","E05000032",544574.23047108,183556.79038919
"608","E05000039",547072.6761252,182649.26309498
"609","E05000038",549455.59114737,182798.28291497
"610","E05000041",550331.81568669,184462.44352938
"611","E05000026",544203.53827051,184358.43404305
"612","E05000035",545483.20320497,184854.22983393
"613","E05000031",546139.91753441,183989.23248752
"614","E05000033",548212.53356837,184070.91273486
"615","E05000036",547049.00706814,184921.7920811
"616","E05000028",547000.3555554,186088.28091815
"617","E05000027",549061.58699811,185152.9429953
"618","E05000040",548034.58320083,186790.43843575
"619","E05000034",549443.32787629,186492.42163814
"620","E05000042",548566.27345726,187604.21828756
"621","E05000030",550789.8666982,186100.83436347
"622","E05000029",548359.71235656,189490.84874974
"623","E05000037",548124.87140759,185636.63437789
"624","E09000001",532462.37431469,181223.4382518
